area,count_births,count_deaths,count_pop,count_breastf,count_job_seekers,ratio_low_birthweight,ratio_hosp__acc_adm,ratio_hosp_planned_adm,ratio_fires,ratio_dis_allow,count_house_sales,house_sales_prices_mean
Fochabers Lhanbryde,89,93,9954,59,230,1.93E0,945,11552,7.62E1,5.2352E3,154,157564
Forfar and District,166,204,15883,65,380,2.27E0,1228,8126,8.82E1,6.2418E3,147,144685
Forres,120,155,15301,66,340,2.27E0,1033,11684,3.92E1,4.6693E3,197,159293
Fort William and Ardnamurchan,99,106,11714,53,280,1.02E0,1434,10818,5.12E1,5.7436E3,118,135413
Forth,555,281,33062,323,1335,2.78E0,1399,10376,1.508E2,6651,379,195007
Forth and Endrick,88,113,12558,56,125,1.33E0,892,10636,4.05E1,3.2321E3,154,245249
Fortissat,147,156,14510,25,675,5.1E-1,1027,11683,79,1.01083E4,100,88178
Fountainbridge / Craiglockhart,305,156,22325,257,535,2.42E0,1170,8274,1.478E2,3.0719E3,416,202921
Fraserburgh and District,166,166,15695,70,335,1.45E0,1083,10611,4.62E1,7.1006E3,148,139364
Galashiels and District,173,175,14567,88,520,2.69E0,1715,9955,1.417E2,6.1115E3,99,126748
Garscadden / Scotstounhill,382,394,29617,177,1315,2.07E0,1626,15377,1.649E2,1.01451E4,256,115987
George St / Harbour,214,79,17888,134,400,1.11E0,1318,7126,1.859E2,3.6695E3,328,136013
Giffnock and Thornliebank,137,173,14344,75,175,1.78E0,1241,15278,8.36E1,4.3932E3,180,207243
Girvan and South Carrick,103,132,9657,32,290,2.95E0,1460,16589,1.04E1,8.8259E3,96,114290
Glenrothes Central and Thornton,146,197,13976,51,520,1.61E0,1222,12796,6.86E1,7538,132,100582
"Glenrothes North, Leslie and Markinch",195,217,18453,78,550,1.8E0,1332,11267,6.63E1,7.0889E3,181,127491
Glenrothes West and Kinglassie,251,168,18384,84,640,2.41E0,1333,13308,9.33E1,7.7541E3,206,102796
Govan,427,391,30786,194,1805,3.04E0,1743,14328,3.001E2,1.00376E4,279,87360
Grangemouth,194,193,17294,40,755,3.11E0,1116,8173,6.94E1,7.7987E3,150,88970
Greater Pollok,454,378,32756,141,1320,2.5E0,1292,15259,7.26E1,9.9764E3,241,123792
Haddington and Lammermuir,141,124,13085,80,225,2.61E0,1183,12712,61,4.9164E3,131,196969
Hamilton North and East,202,253,15342,71,635,1.39E0,1342,11240,1.934E2,8.6267E3,238,122025
Hamilton South,200,185,18928,75,710,1.29E0,1145,10810,51,7800,212,128489
Hamilton West and Earnock,279,148,18539,66,625,2.72E0,1241,10928,1.199E2,7.5303E3,210,137846
