artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Josh Kempen,0.5111333333333333,0.5708866666666667,5.6,-10.530000000000003,0.7333333333333333,0.05728666666666666,0.44702066666666673,0.023538549333333332,0.15219333333333337,0.3068666666666668,115.51613333333333,185380.46666666667,3.8666666666666667
Jude Young,0.804,0.904,2.0,-5.484,0.0,0.0457,0.115,0.867,0.11699999999999999,0.958,127.992,131250.0,4.0
Jula,0.6454137931034484,0.6073965517241379,5.327586206896552,-6.491965517241377,0.6896551724137931,0.07276034482758617,0.2860443103448276,0.01982329275862069,0.1795810344827586,0.47841379310344834,115.3489482758621,191871.39655172414,3.8275862068965516
Julian Ovenden,0.5323035714285715,0.4884785714285714,6.428571428571429,-8.5160625,0.8392857142857143,0.08430892857142858,0.37015044642857153,0.0002158574107142857,0.1610258928571429,0.3547892857142857,118.01368749999997,190663.69642857142,3.8125
Juni,0.5906666666666667,0.5326666666666667,8.0,-9.608333333333334,0.3333333333333333,0.0389,0.4037,0.00010858000000000001,0.16196666666666668,0.7063333333333334,119.67933333333333,208576.66666666666,3.6666666666666665
KAMAU,0.64974,0.7005,5.64,-6.083900000000001,0.6,0.07277200000000002,0.062153699999999985,0.022239839400000003,0.17909399999999998,0.4624919999999998,120.44438,194274.86,3.98
Kani,0.6905229681978797,0.7825265017667846,6.134275618374558,-3.803501766784455,0.8586572438162544,0.07689823321554766,0.4004466431095407,0.002404330918727916,0.20936607773851612,0.883749116607774,130.8538480565371,181222.02826855125,3.254416961130742
Kauniit & Uhkarohkeat,0.6390000000000001,0.6497999999999998,6.4,-5.527199999999996,0.7,0.06230999999999996,0.062056,0.013951490000000007,0.29764,0.5239999999999997,119.96690000000012,205233.7,4.0
Kazumi Watanabe,0.3580362938070085,0.20225647527604404,5.468074891982718,-20.302888142102756,0.5204032645223235,0.06287037926068176,0.7946085808449357,0.7071916756649063,0.1617874699951998,0.19181469035045606,101.62386797887673,232489.3590974556,3.647143542966875
Kenn Colt,0.6625357142857143,0.724357142857143,6.214285714285714,-6.1518571428571445,0.42857142857142855,0.0801357142857143,0.09714,0.10998940428571426,0.3053642857142857,0.405642857142857,122.73364285714285,226189.0,4.0
Kenny,0.5901762589928057,0.6180071942446044,5.154676258992806,-8.378280575539572,0.9424460431654677,0.08079568345323733,0.27729778776978414,0.0033785201079136688,0.27879100719424466,0.47713992805755406,128.30287769784172,238154.94244604316,3.931654676258993
Kent Ortiz,0.6896000000000001,0.7468000000000001,5.6,-7.116199999999999,1.0,0.09341999999999999,0.10256859999999998,1.238e-06,0.23296,0.48819999999999997,113.58680000000001,181446.6,4.0
Kiefer Sutherland,0.4777906976744186,0.6931162790697674,6.232558139534884,-7.304441860465114,0.9069767441860465,0.04428604651162791,0.18559790697674416,0.0007163855813953489,0.31050232558139534,0.48530232558139513,130.97906976744184,242265.6976744186,3.813953488372093
Kita Alexander,0.6919047619047618,0.680095238095238,5.666666666666667,-6.079190476190475,0.8095238095238095,0.04328095238095237,0.203757619047619,0.0493935976190476,0.25207619047619045,0.4959523809523809,120.1517619047619,223699.80952380953,4.0
Kithara,0.6548571428571428,0.3645714285714286,6.0,-14.97242857142857,1.0,0.05047142857142857,0.20705114285714288,0.00034831428571428574,0.14494285714285712,0.30265714285714285,114.03642857142857,237782.2857142857,3.857142857142857
Klangstof,0.5210909090909093,0.47213181818181804,5.545454545454546,-9.93531818181818,0.45454545454545453,0.03753636363636364,0.277105,0.45142909090909084,0.1712136363636364,0.25792727272727284,114.17845454545456,227847.63636363635,3.772727272727273
Klyne,0.7101999999999999,0.4997,3.7,-8.5707,0.4,0.06360000000000002,0.230528,0.09211115,0.12458,0.3801,114.0456,210068.6,3.9
Kody Woah,0.7156666666666668,0.7026666666666667,3.6666666666666665,-5.501,0.3333333333333333,0.09883333333333334,0.03701326666666666,0.0,0.11333333333333333,0.4463333333333333,149.37933333333334,228376.33333333334,4.0
Kollektiv Turmstrasse,0.5965594594594593,0.45793837837837825,7.4324324324324325,-15.982405405405407,0.32432432432432434,0.0692945945945946,0.33723532432432435,0.7525608108108108,0.19480810810810806,0.28664054054054056,124.84116216216215,321334.91891891893,3.945945945945946
Kyle Watson,0.7685238095238095,0.6374285714285713,7.714285714285714,-8.319190476190474,0.38095238095238093,0.11231904761904762,0.0630657142857143,0.4506789238095238,0.17957619047619047,0.36079047619047616,117.79233333333335,298124.1904761905,4.0
L2M,0.5813333333333333,0.3891754385964912,4.456140350877193,-11.483982456140344,0.9473684210526315,0.044166666666666674,0.458840350877193,0.016378286315789473,0.2757964912280703,0.27305789473684206,119.68305263157893,230964.49122807017,3.807017543859649
LAYNE,0.43828282828282805,0.7651803030303026,5.111111111111111,-5.1636060606060585,0.6464646464646465,0.06304141414141412,0.061647346969696926,0.07670543409090913,0.3671873737373737,0.2443702020202021,123.42347474747474,267384.5202020202,3.878787878787879
LIL UZI VERT,0.7409022556390978,0.6367293233082705,5.451127819548872,-6.104729323308271,0.5789473684210527,0.21686390977443615,0.17702303759398494,8.633082706766919e-07,0.2175556390977444,0.4342954887218044,129.5227969924812,207152.4060150376,4.0
LOLO,0.7438181818181818,0.8663636363636364,6.909090909090909,-6.343272727272728,0.5454545454545454,0.06269090909090909,0.4622727272727273,3.275e-05,0.22953636363636365,0.8412727272727274,118.64372727272726,180631.54545454544,3.1818181818181817
Larry June,0.6131965317919077,0.6469595375722543,5.635838150289017,-8.404283236994225,0.4913294797687861,0.24503236994219657,0.13590287687861283,0.00016830375722543352,0.23546127167630057,0.45046589595375736,120.75721387283244,185302.08670520232,3.867052023121387
Ledinsky,0.5834545454545456,0.6007272727272727,3.727272727272727,-5.190636363636364,0.9090909090909091,0.04501818181818182,0.3689363636363636,0.01204221818181818,0.1561090909090909,0.4757272727272727,115.11054545454546,188517.63636363635,3.909090909090909
Lido,0.5479063291139242,0.5133215189873416,5.10379746835443,-10.587949367088603,0.7139240506329114,0.04106354430379747,0.44997577215189927,0.048712066936708855,0.25503898734177244,0.544215189873418,120.39550632911391,274824.82784810127,3.8734177215189876
Lili Poe,0.5435384615384614,0.5060769230769231,5.6923076923076925,-6.771076923076923,0.07692307692307693,0.06383846153846155,0.30055384615384617,0.00046384384615384623,0.10696923076923077,0.2643076923076923,106.901,213799.92307692306,3.923076923076923
Lina Maly,0.5626428571428573,0.48298214285714275,6.428571428571429,-9.317607142857142,0.42857142857142855,0.04590357142857143,0.4715728571428572,0.029135019642857148,0.15932857142857146,0.29512142857142853,118.24317857142856,222182.14285714287,3.9285714285714284
Little Rose,0.52075,0.042850000000000006,4.25,-24.33375,1.0,0.0741,0.9945,0.9450000000000001,0.105075,0.3295,134.857,204062.5,3.75
Liz Elias,0.594,0.7829999999999999,6.0,-2.707,1.0,0.040999999999999995,0.0251,0.0,0.0635,0.267,98.96799999999999,220606.0,4.0
Locnville,0.6138676470588237,0.786941176470588,5.602941176470588,-6.321808823529412,0.5294117647058824,0.06625588235294119,0.13397836764705887,0.016440821029411763,0.15812794117647064,0.555470588235294,128.75664705882352,220355.60294117648,4.0
