"Area Name","dis2012","breast_2012","immun2011","dwellterraced2012","dwellroom12012","jobs2011","urbanclass","house_prices_mean"
"S01000070",6230.5,50,85.7,25,0,7.5,1,108000
"S01000071",7180.2,30.8,100,1,0,13.2,1,134000
"S01000072",3610.1,55.6,100,23,2,12.5,1,247145
"S01000073",2455,100,100,0,0,0,1,320086
"S01000074",7303.4,26.7,100,4,0,8.3,1,102000
"S01000075",1893.9,100,80,3,6,0,1,158426
"S01000076",662.3,66.7,100,0,0,0,1,295333
"S01000077",2132.2,57.1,100,18,2,6.4,1,249529
"S01000078",3348.2,61.9,93.8,0,20,11.3,1,85408
"S01000079",1962.3,58.3,86.7,7,3,0,1,241871
"S01000080",2496.9,90.9,100,9,10,4.8,1,163388
"S01000081",2145.9,33.3,100,11,0,0,1,389650
"S01000082",6519.6,36.4,100,15,6,8.9,1,94389
"S01000083",1292,44.4,100,11,11,6.9,1,275680
"S01000084",5215.1,63.6,100,1,11,8.4,1,75754
"S01000085",3205.1,83.3,100,2,15,0,1,123079
"S01000086",1245.3,50,83.3,14,5,0,1,262081
"S01000087",1306.6,77.8,100,11,1,0,1,360512
"S01000088",2364.1,71.4,100,7,4,5,1,174452
"S01000089",519.8,50,100,2,0,0,1,342667
"S01000090",1270.6,88.9,100,10,4,0,1,190309
"S01000091",3102.8,80,50,7,14,3.6,1,157217
"S01000092",1845,66.7,88.9,0,9,4.3,1,143978
"S01000093",1355,57.1,100,7,5,8.5,1,143517
"S01000094",2152.1,85.7,100,0,2,0,1,134666
"S01000095",1191.9,60,75,9,9,0,1,174901
"S01000096",7913.7,33.3,100,34,13,8.2,1,145200
"S01000097",809.1,100,81.8,14,0,0,1,422124
"S01000098",4534.2,64.3,100,3,7,6.7,1,158240
"S01000099",1700.7,12.5,100,0,0,0,1,454075
"S01000100",3337,80,85.7,7,1,7.1,1,172788
"S01000101",1067.2,90,100,37,0,4.5,1,244908
"S01000102",6195.8,71.4,100,1,8,4,1,137030
"S01000103",819.7,87.5,100,6,4,4.9,1,193985
"S01000104",1082.3,50,100,2,0,0,1,473145
"S01000105",2481.4,22.2,100,24,0,0,1,209153
"S01000106",625,100,100,23,1,0,1,406372
"S01000107",2657.2,64.3,87.5,0,3,1.9,1,114731
"S01000108",5797.1,66.7,100,19,8,0,1,159770
"S01000109",4972.9,66.7,100,2,9,0,1,162288
"S01000110",3699.1,60,100,28,0,0,1,266368
"S01000111",1997.3,80,100,5,0,5.8,1,293500
"S01000112",4882.8,28.6,100,2,7,0,1,133399
"S01000113",1631.3,75,100,15,1,0,1,292309
"S01000114",7389.2,27.8,100,14,0,0,1,145833
"S01000115",7985.3,50,100,48,0,5.3,1,106135
"S01000116",850.3,80,100,0,13,0,1,151885
"S01000117",1980.2,36.4,100,18,0,0,1,304985
"S01000118",6024.1,83.3,100,15,0,0,1,212962
"S01000119",5501.2,66.7,100,1,13,3.8,1,125000
"S01000120",2868.1,100,100,14,15,8.8,1,146882
"S01000121",9052.9,83.3,100,21,0,7.4,1,443069
"S01000122",7936.5,41.7,100,50,0,0,1,108378
"S01000123",4464.3,69.2,100,7,0,0,3,274599
"S01000124",2730.1,57.1,88.9,2,15,0,1,122938
"S01000125",5355.4,42.9,100,1,2,1.9,1,133667
"S01000126",6550.2,60,100,2,9,2.7,1,122879
"S01000127",1335.1,63.6,100,18,0,7.4,1,313545
"S01000128",2486.3,61.5,100,0,9,1.5,1,145925
"S01000129",0,66.7,100,0,3,0,1,108438
"S01000130",4050.1,88.2,70,0,9,1.6,1,156557
"S01000131",1639.3,100,100,22,5,0,1,201886
"S01000132",2770.1,88.9,100,11,4,0,1,152377
"S01000133",5319.1,30,100,51,0,0,1,128496
"S01000134",9901,16.7,100,47,0,0,1,113200
"S01000135",6747.6,35.3,100,0,6,8.3,1,109125
"S01000136",7886.4,16.7,100,55,0,6.7,1,117167
"S01000137",5662.5,63.6,83.3,3,6,0,1,135998
"S01000138",2847.8,72.7,100,1,6,1,1,109878
"S01000139",8985.9,30,100,71,1,9.1,1,141429
"S01000140",9386.7,33.3,100,80,0,0,1,146590
"S01000141",3101.7,85.7,90,18,2,0,1,258209
"S01000142",7617.7,12.5,100,47,0,5.6,1,99083
"S01000143",2702.7,75,100,11,0,0,3,272000
"S01000144",1436.8,75,100,1,9,2.5,1,137706
"S01000145",12278.3,25,100,53,0,7,1,128727
"S01000146",6723.3,70,82.4,1,14,4.1,1,114603
"S01000147",3629.8,66.7,100,6,17,2.2,1,123973
"S01000148",10016.7,42.1,94.4,30,0,14.9,1,101158
"S01000149",3813.6,54.5,100,1,7,1.9,1,152625
"S01000150",7031.3,33.3,100,62,0,5.8,1,126862
"S01000151",10844.7,21.4,88.9,18,0,6.4,1,136150
"S01000152",5071.9,85.7,100,11,3,0,1,199013
"S01000153",4728.1,50,100,0,3,2,1,182848
"S01000154",7767,25,100,91,2,0,1,127973
"S01000155",9641.9,25,100,75,0,7.6,1,124400
"S01000156",3472.2,30,100,1,12,1.9,1,97851
"S01000157",11329.3,60,100,13,0,7.8,1,93034
"S01000158",6944.4,40,100,28,0,4.4,1,121443
"S01000159",3133.4,55.6,100,1,0,0,3,250909
"S01000160",4847.6,36.4,100,84,1,6.4,1,126167
"S01000161",1459.1,80,87.5,4,2,1.7,1,162096
"S01000162",5688.3,40,90,18,4,4.8,1,153457
"S01000163",11831.3,26.7,90,74,0,4.7,1,134250
"S01000164",4342.4,33.3,100,0,4,1.6,1,91914
"S01000165",10011.8,44.4,100,7,4,4.8,1,109688
"S01000166",1706.5,83.3,100,13,9,1.1,1,148051
"S01000167",8888.9,40,100,40,6,8.2,1,133506
"S01000168",7454.7,57.1,100,72,0,4.8,1,123615
"S01000169",6765.9,57.1,100,53,1,0,1,192817
"S01000170",1995.2,62.5,100,14,5,0,1,134557
"S01000171",1848.4,50,100,3,0,0,3,240405
"S01000172",1048.2,42.9,100,10,0,0,1,186714
"S01000173",8441.6,37.5,91.7,35,0,5.3,1,109167
"S01000174",1024.6,75,100,0,0,0,3,312706
"S01000175",5395.7,41.7,75,3,4,3.4,1,104278
"S01000176",2600.8,70,100,0,8,0,1,119138
"S01000177",1821.5,0,100,0,0,0,1,167791
"S01000178",9363.3,0,100,74,0,5.6,1,118180
"S01000179",9047,71.4,100,2,0,9.9,1,89167
"S01000180",9448.8,0,100,67,8,13.9,1,132375
"S01000181",8137.4,50,100,46,0,7.6,1,122333
"S01000182",10216.3,19,100,74,0,4.9,1,120312
"S01000183",5046.3,33.3,90,5,6,0,1,99194
"S01000184",4149.4,33.3,90.9,13,0,4.9,1,187267
"S01000185",9249.2,50,100,0,0,3.4,1,116216
"S01000186",7683.2,33.3,100,13,0,0,1,176851
"S01000187",8814.1,0,100,17,0,9.7,1,114820
"S01000188",6244.8,85.7,100,7,4,0.9,1,109590
"S01000189",8605.9,25,100,52,0,11.5,1,100667
"S01000190",9236.5,30,100,66,3,5.2,1,121469
"S01000191",2216.3,64.3,100,12,0,3.2,1,236226
"S01000192",6840.8,41.7,93.8,6,4,3.2,1,161800
"S01000193",10901.2,16.7,100,73,0,0,1,114286
"S01000194",5428.2,22.2,87.5,1,5,13.2,1,99990
"S01000195",4516.1,62.5,100,17,1,8.1,1,90375
"S01000196",10101,27.3,100,24,0,9.7,1,106550
"S01000197",6493.5,50,100,84,7,7.7,1,110167
"S01000198",13315.6,35.7,100,0,0,8.2,1,94082
"S01000199",7831.3,38.9,90.9,2,0,16.9,1,77000
"S01000200",8074.5,33.3,100,0,0,6.3,1,107926
"S01000201",6578.9,30,100,0,0,0,1,112265
"S01000202",4994.5,41.7,95.2,5,3,0,1,113542
"S01000203",5917.2,20,100,2,0,12.2,1,NA
"S01000204",8787.3,33.3,100,62,0,6.5,1,98625
"S01000205",4205.2,46.7,95,9,2,1.6,1,142342
"S01000206",6220.8,45.5,100,87,0,0,1,123338
"S01000207",8108.1,33.3,100,0,0,9.8,1,73598
"S01000208",10281.4,53.3,100,15,1,7.1,1,86667
"S01000209",7203.4,27.8,100,1,2,9.8,1,91250
"S01000210",10294.1,47.4,90,7,6,9.5,1,75500
"S01000211",7747.3,40,100,18,0,9.5,1,59333
"S01000212",6355.9,50,100,46,0,6.3,1,113149
"S01000213",6336.4,14.3,100,2,2,4.5,1,95000
"S01000214",5307.9,0,100,100,0,0,1,153000
"S01000215",3058.1,30.8,87.5,2,9,6.1,1,191215
"S01000216",4694.8,71.4,100,26,0,0,1,145289
"S01000217",7565.3,46.7,94.4,27,0,4.7,1,102343
"S01000218",8972.3,71.4,100,89,0,0,1,124750
"S01000219",6779.7,33.3,100,10,0,0,1,90833
"S01000220",1716,31.3,100,5,3,0,1,142339
"S01000221",7946.2,28.6,100,10,1,6.8,1,96259
"S01000222",6302.5,66.7,100,49,0,5.4,1,139703
"S01000223",1858.7,42.9,100,24,12,0,1,186848
"S01000224",8454.1,14.3,100,28,0,4.9,1,157730
"S01000225",4725.9,50,100,51,0,0,1,169506
"S01000226",2525.3,60,100,6,0,0,1,180410
"S01000227",2127.7,50,100,14,0,0,1,231336
"S01000228",2594,53.3,100,1,14,6.3,1,129704
"S01000229",6064.7,0,100,26,0,0,1,130364
"S01000230",4777.1,22.2,100,28,0,6.3,1,142279
"S01000231",1506,25,100,11,0,0,1,136732
"S01000232",4769.5,60,100,46,4,5.4,1,126608
"S01000233",7085,50,100,14,3,0,1,138667
"S01000234",2142.9,50,100,13,0,0,1,159591
"S01000235",2139,40,100,15,0,5.7,1,163463
"S01000236",3003,37.5,100,13,0,0,1,180400
"S01000237",2937.7,42.9,100,9,2,0,1,213250
"S01000238",2197.8,0,100,45,0,0,1,134421
"S01000239",3521.1,33.3,100,17,0,0,1,201167
"S01000240",4910,20,100,15,0,0,1,179143
"S01000241",2100.8,62.5,100,0,0,0,1,313082
"S01000242",2436.1,100,91.7,12,0,0,1,184886
"S01000243",3870,100,100,2,0,8.1,1,199250
"S01000244",5934.7,0,100,16,4,4.1,1,127169
"S01000245",4767.6,14.3,100,49,0,7,1,173355
"S01000246",3681.9,42.9,100,59,0,0,1,191086
"S01000247",2269.3,57.1,100,3,0,0,1,180882
"S01000248",2812.9,75,100,11,0,0,1,163697
"S01000249",3787.9,50,50,30,0,0,1,235238
"S01000250",2487.6,60,100,12,0,6.1,1,195591
"S01000251",2232.1,66.7,100,0,0,0,1,225386
"S01000252",1239.2,42.9,100,37,0,0,1,149324
"S01000253",729.9,100,100,0,0,0,1,219923
"S01000254",1918.2,71.4,100,5,0,0,1,181264
"S01000255",3656.3,45.5,100,23,12,0,1,138844
"S01000256",4779,0,100,22,0,0,1,246841
"S01000257",4750.6,0,100,15,0,0,1,228499
"S01000258",1510.6,60,100,10,0,0,1,145000
"S01000259",1652.9,50,100,9,0,0,1,198375
"S01000260",1606,47.6,100,41,0,0,1,171906
"S01000261",3370.8,66.7,100,5,0,0,1,174372
"S01000262",5561.7,60,100,13,0,0,1,232169
"S01000263",5681.8,70,100,12,12,7.7,1,188778
"S01000264",5917.2,25,100,38,2,5.4,1,150308
"S01000265",6437.8,0,100,37,0,9.1,1,139300
"S01000266",3365.7,29.4,87.5,13,1,3.8,1,208754
"S01000267",6540.7,50,100,34,0,0,1,162000
"S01000268",7554.9,33.3,100,16,1,0,5,169128
"S01000269",2865.3,60,100,4,1,9.6,5,225118
"S01000270",3542.5,58.3,100,10,1,5.2,5,173442
"S01000271",5369.9,100,100,17,1,0,5,154370
"S01000272",2532.9,50,100,21,1,0,5,194827
"S01000273",3086.4,50,87.5,34,0,12.2,5,183837
"S01000274",3003,50,100,16,1,0,5,116111
"S01000275",3483,50,100,16,0,0,5,163214
"S01000276",1896.3,33.3,100,0,0,6,5,232625
"S01000277",4184.1,60,100,19,1,7.9,5,198421
"S01000278",4863.8,12.5,100,28,0,9.6,5,114200
"S01000279",3118.5,44.4,100,1,0,0,5,190047
"S01000280",2611,54.5,95.5,8,0,0,5,211604
"S01000281",3586.8,81.8,100,10,0,6.5,5,139750
"S01000282",2728.5,41.7,92.3,11,3,0,5,188934
"S01000283",2551,77.8,100,13,0,0,5,215667
"S01000284",1965.4,55.6,100,11,1,0,5,350639
"S01000285",2152.1,37.5,100,2,1,0,5,292444
"S01000286",3034,72.7,100,19,2,0,2,162878
"S01000287",3660.3,75,100,13,2,0,2,256242
"S01000288",2557.5,28.6,92.9,30,0,5.6,2,193501
"S01000289",4181.6,58.3,100,32,2,0,2,167391
"S01000290",7812.5,50,100,35,0,7,2,135667
"S01000291",4284,50,100,30,0,0,2,246934
"S01000292",3600.8,60,100,7,0,3.9,2,237268
"S01000293",4041.6,55.6,88.9,17,1,0,2,145831
"S01000294",2849,60,100,0,0,0,2,209646
"S01000295",1926.8,33.3,100,9,0,0,2,206071
"S01000296",2637.1,57.1,90.9,4,0,0,2,302111
"S01000297",4723.3,66.7,100,6,1,0,2,190948
"S01000298",1994,38.5,100,8,0,0,2,226117
"S01000299",1307.8,66.7,75,1,2,0,6,282304
"S01000300",2401,85.7,100,6,2,0,5,276833
"S01000301",1661.1,40,100,2,4,0,6,298000
"S01000302",2459,66.7,100,5,2,0,6,274333
"S01000303",3159.6,100,100,2,3,0,6,276250
"S01000304",976.6,25,100,0,0,0,3,228156
"S01000305",4608.3,60,100,33,0,0,3,174387
"S01000306",1532.2,88.9,100,5,1,7,5,524512
"S01000307",2656.7,42.9,100,3,0,4.4,3,191238
"S01000308",1440.9,47.1,92.9,8,1,4.7,5,260106
"S01000309",2636.2,25,95.5,3,2,0,6,390259
"S01000310",3167.9,0,100,4,0,0,3,197797
"S01000311",1722.2,64.3,100,3,1,0,3,242188
"S01000312",1683.5,75,0,10,2,0,6,280573
"S01000313",3870,75,100,13,0,0,3,199920
"S01000314",4612.5,57.1,100,25,0,0,3,171958
"S01000315",1432.7,40,100,2,1,0,3,335000
"S01000316",4814.3,0,100,19,1,14.3,6,193591
"S01000317",4835.6,40,100,56,0,0,3,191442
"S01000318",840.3,66.7,100,0,0,0,3,308904
"S01000319",2103.8,50,100,2,0,0,3,188091
"S01000320",1466.3,20,100,14,7,6.2,3,106906
"S01000321",3490.4,50,88.9,1,0,0,5,252942
"S01000322",1515.2,88.9,100,2,0,0,3,247112
"S01000323",3850.4,80,100,21,0,0,3,318708
"S01000324",2352.9,14.3,100,3,0,4.3,3,195009
"S01000325",1577.3,52.2,96.2,20,0,0,3,268911
"S01000326",5464.5,50,100,38,2,4.6,3,163250
"S01000327",2372.5,20,100,2,0,0,3,198550
"S01000328",4472.3,42.9,100,55,0,0,3,139806
"S01000329",4645.8,45,100,30,0,5.3,3,209286
"S01000330",2276.2,55.6,94.1,3,0,6,5,383795
"S01000331",4432.6,75,100,20,0,9.1,6,255188
"S01000332",3989.4,37.5,100,4,0,0,6,329016
"S01000333",1962.7,100,100,3,1,0,5,352222
"S01000334",3359.5,55.6,90.9,5,1,6.3,6,235068
"S01000335",3816.8,66.7,100,11,0,0,5,208625
"S01000336",2693,48.7,93.8,4,11,0,5,277881
"S01000337",1282.1,57.1,100,13,2,0,5,268000
"S01000338",3597.1,100,100,14,2,0,6,318400
"S01000339",2226.2,44.4,100,4,2,0,6,295377
"S01000340",1459.1,85.7,100,7,2,5.6,5,423439
"S01000341",2398.1,60,85.7,0,2,6.7,6,381625
"S01000342",4553.7,57.1,100,10,0,0,6,214800
"S01000343",2369.7,50,100,0,1,0,6,265592
"S01000344",2827.5,60,90,6,1,4.8,6,236531
"S01000345",1663.9,62.5,100,31,10,8.5,2,187583
"S01000346",2193,71.4,100,7,0,0,2,194500
"S01000347",1584.3,47.2,100,7,0,0,2,299212
"S01000348",2663.1,37.5,100,17,1,0,2,195513
"S01000349",2767.5,25,100,16,0,0,2,222357
"S01000350",1387.6,33.3,100,4,0,0,2,259181
"S01000351",3218.9,14.3,100,5,1,0,2,166518
"S01000352",2877.7,60,100,1,0,0,2,212895
"S01000353",788.6,33.3,100,0,0,0,2,198469
"S01000354",2631.6,48.1,97.1,4,0,0,2,369228
"S01000355",2384.7,33.3,100,0,0,0,2,207250
"S01000356",1428.6,75,100,3,2,0,5,515600
"S01000357",846,100,100,0,0,0,2,203991
"S01000358",1628.7,54.5,100,0,0,0,2,266364
"S01000359",1659.3,33.3,100,0,0,0,2,381350
"S01000360",2772.6,33.3,100,6,4,0,6,130889
"S01000361",2218.9,85.7,100,7,1,0,5,430262
"S01000362",2087.7,60,100,7,1,0,5,319600
"S01000363",2102.6,60,93.8,1,0,0,5,295407
"S01000364",2572,66.7,100,0,2,5.6,6,258500
"S01000365",2286.6,41.9,100,6,0,3.8,5,236565
"S01000366",1860.7,66.7,97.7,4,0,4.6,5,260426
"S01000367",2283.1,57.1,100,12,4,0,3,308076
"S01000368",1994,33.3,100,7,1,6.8,6,181500
"S01000369",3194.9,0,100,1,0,0,5,176100
"S01000370",2907,30,100,9,0,0,5,216459
"S01000371",4410.1,0,100,4,0,0,6,238129
"S01000372",2585.3,60,100,20,1,0,3,190760
"S01000373",745.2,33.3,100,8,0,10.6,3,274190
"S01000374",2130.7,0,100,6,0,0,6,183375
"S01000375",5882.4,0,100,18,0,0,3,NA
"S01000376",5514.7,57.1,100,23,0,6,3,125833
"S01000377",1216.5,44.4,92.3,4,7,0,5,278590
"S01000378",3521.1,100,100,28,0,0,3,215000
"S01000379",1449.3,57.1,100,5,1,0,5,213867
"S01000380",2164.5,57.1,100,9,1,5.2,5,190200
"S01000381",1563.5,31.8,97.1,8,0,4.9,3,228288
"S01000382",2518.9,50,100,17,1,0,5,309225
"S01000383",3012,40.9,100,3,4,0,5,234761
"S01000384",4641.9,50,100,13,3,0,6,705000
"S01000385",4870.1,25,100,19,0,8.2,5,134584
"S01000386",2145.9,44.4,100,5,2,0,5,222331
"S01000387",3030.3,40,100,12,0,0,5,243451
"S01000388",2136.8,30,93.3,2,0,0,5,245762
"S01000389",1787.8,50,100,2,0,7.9,5,214438
"S01000390",6823.8,33.3,100,27,0,0,2,135947
"S01000391",3731.3,44.4,90,20,0,6,2,178687
"S01000392",1708.4,37.5,100,5,0,0,5,208083
"S01000393",5714.3,66.7,100,6,3,0,2,198583
"S01000394",3930.8,50,100,1,0,0,2,187625
"S01000395",2183.4,22.2,100,3,1,0,5,256258
"S01000396",6104.3,20,100,39,0,6.7,2,167986
"S01000397",5605.4,25,100,2,0,6,2,171600
"S01000398",1244.8,42.9,97.1,2,0,2.2,5,286370
"S01000399",5395.7,20,100,1,4,0,2,144566
"S01000400",4411.8,57.1,100,12,1,0,2,168107
"S01000401",1672.2,60,100,1,1,5.7,6,235100
"S01000402",4207.6,25,88.9,13,7,7.5,2,161794
"S01000403",3607.5,50,100,13,1,0,2,160310
"S01000404",2265.9,10,100,27,0,0,2,183923
"S01000405",872.6,75,100,2,0,0,5,327286
"S01000406",5917.2,66.7,100,17,0,0,2,126227
"S01000407",3430.5,0,100,19,0,0,2,151011
"S01000408",1481.5,66.7,100,0,1,0,2,200000
"S01000409",3558.7,28.6,100,12,2,0,2,183615
"S01000410",688.7,100,100,6,1,0,5,320000
"S01000411",2365.9,75,83.3,5,1,0,5,274143
"S01000412",3160.6,50,100,11,1,6.9,5,282667
"S01000413",3861,40,100,7,1,0,6,147859
"S01000414",2248.9,41.7,100,10,0,6.9,6,182852
"S01000415",2969.1,58.3,100,6,0,0,5,215402
"S01000416",2129.9,16.7,100,8,0,5.7,5,157825
"S01000417",2862.6,37.5,100,9,0,0,5,208000
"S01000418",2805,37.5,100,2,2,0,6,215284
"S01000419",2845,58.3,100,2,0,4.4,5,271054
"S01000420",4464.3,55.6,100,7,0,0,5,195578
"S01000421",1989.4,55.6,100,4,1,0,5,283562
"S01000422",3800.2,60,100,15,0,0,5,161686
"S01000423",1429.9,62.5,92.9,5,0,0,5,256447
"S01000424",5147.1,50,92.3,0,0,7.1,5,194864
"S01000425",3717.5,75,91.7,20,0,0,5,277669
"S01000426",3225.8,50,90.9,0,0,0,5,192196
"S01000427",2384.7,44.4,100,8,1,0,4,121462
"S01000428",3179.7,12.5,100,1,0,0,4,180975
"S01000429",1816,25,100,0,0,0,4,173159
"S01000430",3937,50,80,4,0,0,4,197875
"S01000431",7223.1,77.8,100,4,2,0,4,163000
"S01000432",2893.5,44.4,100,0,0,0,4,161375
"S01000433",4655.5,71.4,100,17,0,8.1,4,159225
"S01000434",4975.1,40,100,29,1,6.5,4,145333
"S01000435",3118.5,40,100,3,0,0,4,165750
"S01000436",837.5,16.7,100,0,0,0,4,150833
"S01000437",3884.6,45.5,100,7,0,0,4,141701
"S01000438",1400.6,50,100,0,0,0,4,222583
"S01000439",3209.2,25,100,2,0,0,6,322000
"S01000440",2752.3,31.3,100,10,1,0,5,213487
"S01000441",8158.5,25,100,16,1,0,6,176138
"S01000442",2863.7,75,90,2,0,0,5,205789
"S01000443",2581.8,66.7,100,0,0,0,5,268750
"S01000444",2414.5,51.1,100,1,1,2.3,6,233745
"S01000445",3231.8,37.5,100,14,2,4.7,5,152214
"S01000446",2482.6,66.7,100,7,0,0,5,193160
"S01000447",3612.7,60,100,9,0,6.9,5,232163
"S01000448",2448,63.6,100,8,0,7.7,5,204753
"S01000449",5521.5,50,90.9,28,0,0,5,213742
"S01000450",3636.4,60,100,3,0,8.8,5,131133
"S01000451",4103.2,50,100,5,0,0,5,219417
"S01000452",3472.2,62.5,100,1,1,0,5,98250
"S01000453",3257.3,25,100,2,0,0,6,304339
"S01000454",4566.2,80,100,25,0,12.8,5,132534
"S01000455",6257.8,60,87.5,4,0,0,5,153285
"S01000456",3184.7,50,100,2,1,5.3,6,187789
"S01000457",2496.9,50,100,9,0,6.2,4,182840
"S01000458",2626.1,66.7,100,0,2,0,6,206961
"S01000459",3695.9,16.7,100,11,1,4.4,4,152111
"S01000460",7343.1,55.6,100,64,0,5.7,4,113300
"S01000461",4950.5,38.5,100,20,1,13.5,4,92910
"S01000462",6559,0,100,24,1,4.1,4,130444
"S01000463",5231.7,35.7,93.8,42,2,7.8,5,131000
"S01000464",3344.5,66.7,100,5,1,0,6,194929
"S01000465",2419.4,66.7,100,0,1,0,6,199650
"S01000466",4122.5,66.7,100,2,1,0,6,145150
"S01000467",6828.5,60,100,29,0,8.8,5,95714
"S01000468",3603.6,100,100,0,2,0,6,218333
"S01000469",4739.3,28.6,100,19,0,0,2,155550
"S01000470",5142.9,21.4,100,15,0,4.2,2,171083
"S01000471",3164.6,57.1,100,2,1,0,5,203299
"S01000472",6858.7,16.7,100,55,0,0,2,104042
"S01000473",5451.7,33.3,100,48,0,6.3,2,98000
"S01000474",3930.8,50,100,1,0,7,6,251667
"S01000475",6361.3,0,83.3,54,0,4.3,2,90000
"S01000476",4451,60,100,9,1,0,5,144714
"S01000477",5882.4,25,100,27,0,0,2,142889
"S01000478",9271.5,23.1,100,3,0,10.6,2,86286
"S01000479",7888.3,25,100,27,0,10,2,109750
"S01000480",6512.3,16.7,100,15,1,0,5,197838
"S01000481",4967.7,19,100,1,0,4,5,193044
"S01000482",7874,28.6,85,13,4,18.7,2,105167
"S01000483",8888.9,33.3,100,6,0,11.2,2,129600
"S01000484",4968.9,7.1,92.9,7,1,8.3,2,90846
"S01000485",3479.1,25,100,5,3,0,2,146607
"S01000486",8382.6,50,94.1,12,2,13,2,74418
"S01000487",7317.1,50,100,5,9,0,2,101833
"S01000488",11475.4,100,100,20,0,7.7,2,129778
"S01000489",13873.5,23.5,92.9,25,0,15.2,2,74083
"S01000490",4106.8,25,100,8,0,8.8,2,114600
"S01000491",10657.2,0,100,3,1,11.5,2,80938
"S01000492",6131.5,35.3,100,23,0,3.9,2,110150
"S01000493",6006,100,100,19,2,13.3,5,107353
"S01000494",9451.8,50,100,9,0,6.6,2,87278
"S01000495",6127.5,45.5,100,4,0,0,2,130136
"S01000496",3623.2,100,100,1,0,0,2,239000
"S01000497",6079,16.7,100,15,2,0,5,132500
